NU_INSCRICAO;NU_ANO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;CO_MUNICIPIO_NASCIMENTO;NO_MUNICIPIO_NASCIMENTO;CO_UF_NASCIMENTO;SG_UF_NASCIMENTO;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DEFICIENCIA_AUDITIVA;IN_SURDO_CEGUEIRA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_MENTAL;IN_DEFICIT_ATENCAO;IN_DISLEXIA;IN_DISCALCULIA;IN_AUTISMO;IN_VISAO_MONOCULAR;IN_OUTRA_DEF;IN_GESTANTE;IN_LACTANTE;IN_IDOSO;IN_ESTUDA_CLASSE_HOSPITALAR;IN_SEM_RECURSO;IN_BRAILLE;IN_AMPLIADA_24;IN_AMPLIADA_18;IN_LEDOR;IN_ACESSO;IN_TRANSCRICAO;IN_LIBRAS;IN_TEMPO_ADICIONAL;IN_LEITURA_LABIAL;IN_MESA_CADEIRA_RODAS;IN_MESA_CADEIRA_SEPARADA;IN_APOIO_PERNA;IN_GUIA_INTERPRETE;IN_COMPUTADOR;IN_CADEIRA_ESPECIAL;IN_CADEIRA_CANHOTO;IN_CADEIRA_ACOLCHOADA;IN_PROVA_DEITADO;IN_MOBILIARIO_OBESO;IN_LAMINA_OVERLAY;IN_PROTETOR_AURICULAR;IN_MEDIDOR_GLICOSE;IN_MAQUINA_BRAILE;IN_SOROBAN;IN_MARCA_PASSO;IN_SONDA;IN_MEDICAMENTOS;IN_SALA_INDIVIDUAL;IN_SALA_ESPECIAL;IN_SALA_ACOMPANHANTE;IN_MOBILIARIO_ESPECIFICO;IN_MATERIAL_ESPECIFICO;IN_NOME_SOCIAL;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
190003068577;2019;1721000;Palmas;17;TO;19;Feminino;Solteiro(a);Preta;Brasileiro(a);2106607;Matões;21;MA;Já concluí o Ensino Médio;2017;Não respondeu;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;NA;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;1721000;Palmas;17;TO;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;516,3;494,1;581,8;484,3;EACEACBEEBBDEDACCABDDDABCBCBBDDAAECCBCCBDBBDA;ECAABDDCDBECDEACBECACECCEDBBBADBBACECCADEABCD;BDABE99999DCBAEDDEEEDAAECBDEECECEDCBCDDACDDBBCDCEB;CACECBCBDDBCAEADBDADCCBCDCBDCBCCEADBEBBCCDACD;Inglês;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;Sem problemas;120;120;120;120;80;560;Não completou a 4ª série/5º ano do ensino fundamental;Não completou a 4ª série/5º ano do ensino fundamental;Grupo 1 (Verificar a definição no dicionário de dados);Grupo 1 (Verificar a definição no dicionário de dados);2;Até R$ 998,00;Não;Sim, um;Sim, dois;Não;Sim, um;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Não;Sim
190001193574;2019;1721000;Palmas;17;TO;26;Maculino;Solteiro(a);Parda;Brasileiro(a);1721000;Palmas;17;TO;Já concluí o Ensino Médio;2011;Não respondeu;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;NA;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;1721000;Palmas;17;TO;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Azul;Amarela;Amarela;Azul;473,6;552,7;499,1;535,2;CBDDBCBEADEDADBCDBEADBBEEDBACBCDCAABDCEADAADE;ABABABBEBCAEDDCACCBABDBDBEEDAACABEDACBDCAACAC;BCCEB99999ADBBBEEECCAADCAEACDBACAEAADDAEEBCECACBDB;ADBCDBCAEBCDBDEDABAECBDDABCBAEACDBCEADDDBBAEA;Inglês;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;Sem problemas;120;120;120;120;80;560;Não completou a 4ª série/5º ano do ensino fundamental;Nunca estudou;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 998,01 até R$ 1.497,00;Sim, pelo menos cinco dias por semana;Sim, um;Sim, três;Não;Não;Sim, um;Não;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, três;Não;Não;Sim
190001988193;2019;1721000;Palmas;17;TO;23;Feminino;Casado(a)/Mora com um(a) companheiro(a);Branca;Brasileiro(a);2101608;Barra do Corda;21;MA;Já concluí o Ensino Médio;2016;Não respondeu;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;NA;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;1721000;Palmas;17;TO;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Rosa;366,1;432,8;433,9;400,2;DACEACECDEAEBCDDEDAEAADEDDDBEEBBCEEDEAABBEBCA;DBAAECAACBEACBECEDBBADCCAADAABEADEEEBDCECAEBB;BDCBB99999CAACEEEECEABDDEBAEDACBDBEEBBEACAAECAEDEB;AECDEBAEBEBAAAECBEEAEAEDEDBAAAAAECAACDEEBCABE;Inglês;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;Sem problemas;120;40;40;100;0;300;Não sei;Não sei;Grupo 3 (Verificar a definição no dicionário de dados);Não Sei;3;De R$ 1.497,01 até R$ 1.996,00;Não;Sim, dois;Sim, um;Sim, um;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, dois;Sim;Sim, um;Sim
190001196809;2019;1721000;Palmas;17;TO;17;Maculino;Solteiro(a);Parda;Brasileiro(a);1721000;Palmas;17;TO;Estou cursando e concluirei o Ensino Médio em 2019;Não informado;Privada;Ensino Regular;Não;17046807;1721000;Palmas;17;TO;Privada;Urbana;Em atividade;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;1721000;Palmas;17;TO;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Branca;Branca;Cinza;673,7;742,5;644,2;836,0;DADCEEADDCCCCAEABEBACBBBDADCDBBBCDDBEADEADAAE;ACACEEBCCBABADBEBACDEEACCCBADCEBADCBEEDBBEACB;EBBAD99999BACBCAEDECAACDDBECDECEDBDDBCDACCCBCCAECE;DBEBAECBCDBACEDEEEECBDCCEDCEABCDAABDBEBACACAB;Inglês;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;Sem problemas;120;140;120;140;160;680;Completou a Pós-graduação;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 1 (Verificar a definição no dicionário de dados);3;De R$ 6.986,01 até R$ 7.984,00;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Não;Não;Não;Sim, dois;Sim;Não;Sim, três;Não;Sim, dois;Sim
190004595173;2019;1721000;Palmas;17;TO;20;Feminino;Solteiro(a);Parda;Brasileiro(a);5214002;Mozarlândia;52;GO;Já concluí o Ensino Médio;2016;Não respondeu;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;NA;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;1721000;Palmas;17;TO;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;656,9;735,8;702,1;706,2;EACAAEDBEBADEADCDDCDBBECDEBBCECACCCCBCDEDCEEC;BAECCBABBACCBCEEEBCCCBCEDDBCCADBAEDBADBBBACDB;BDABE99999CCBAADDBECAAAECDAECBDCBCCDEBAADDDBBCDCCB;BECEEEABDDECAEAAADBDEEADDDCACBAEECEDCEABAADAC;Inglês;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;Sem problemas;180;200;180;200;200;960;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 2.994,01 até R$ 3.992,00;Não;Sim, um;Sim, dois;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Não;Não;Sim, um;Sim;Não;Sim, três;Não;Sim, um;Sim
190004326747;2019;1721000;Palmas;17;TO;19;Feminino;Solteiro(a);Parda;Brasileiro(a);1721000;Palmas;17;TO;Já concluí o Ensino Médio;2018;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;NA;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;1721000;Palmas;17;TO;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Branca;Branca;Amarela;514,4;421,4;474,9;382,1;DAAACDEBEBBDDCDBCBAACDDECDDBACCBBADEAEDAAECEA;AAACCACBDDEAAABEBAABCCCEABEABEECABEDDABDECDAD;ABECB99999CBBBCCEBBBBACDEBBADDCABACBEAAAEACABABBAA;CCADCABCCCDCDACDDABDEDCACBBCBACCCAACCECBDECBC;Inglês;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;Sem problemas;80;100;80;140;60;460;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);3;De R$ 998,01 até R$ 1.497,00;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Sim, um;Não;Não;Não;Não;Não;Não;Não;Sim, dois;Não;Não;Não
190005082789;2019;1721000;Palmas;17;TO;17;Feminino;Solteiro(a);Parda;Brasileiro(a);1721000;Palmas;17;TO;Estou cursando e concluirei o Ensino Médio em 2019;Não informado;Pública;Ensino Regular;Não;17056438;1721000;Palmas;17;TO;Estadual;Urbana;Em atividade;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;1721000;Palmas;17;TO;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Cinza;412,5;493,5;551,0;563,4;EBCADDCCDBACBDBCECABDAAEDACDBEACBDAEDBCEADBEC;ACCCBBDDAABEDAABEBBECECBDABEECAACDCDEECDABDEB;ADDBE99999AEECABEAEECADBBEABDCEEEBDEDEBEBEEDEDBCBC;DBEACDCAEDBACBEEDBCEADBCEADBCAADACEBCBEADBEDC;Inglês;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;Sem problemas;120;120;120;160;80;600;Não completou a 4ª série/5º ano do ensino fundamental;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);3;De R$ 1.497,01 até R$ 1.996,00;Não;Sim, um;Sim, dois;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Não;Não
190001193644;2019;1721000;Palmas;17;TO;19;Feminino;Solteiro(a);Branca;Brasileiro(a);1721000;Palmas;17;TO;Já concluí o Ensino Médio;2018;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;NA;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;1721000;Palmas;17;TO;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Rosa;Rosa;Amarela;445,1;474,4;503,4;517,1;ADCDEDEAEEBDDABBDAAACDADBCEBABAEEDDEACEABBACD;AEADCBDBAABADECBACDBDCEDEEBBBADECADBBDECCADBC;AEACA99999EBCBAACECEADDABAAAECBEDBDEADBABAEABAEADC;EAEDAEDBDACCAEEECCCBABCCBDCAACEABAABEAAAADCAE;Inglês;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;Sem problemas;160;200;160;160;100;780;Não completou a 4ª série/5º ano do ensino fundamental;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);5;Até R$ 998,00;Não;Sim, um;Sim, dois;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Sim;Não;Sim, dois;Não;Não;Não
190004924063;2019;1721000;Palmas;17;TO;20;Feminino;Solteiro(a);Parda;Brasileiro(a);1718204;Porto Nacional;17;TO;Já concluí o Ensino Médio;2017;Não respondeu;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;NA;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;1721000;Palmas;17;TO;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Amarela;Amarela;Amarela;393,6;349,7;470,6;527,5;DBDBBEBABBECAADDDABEEBBCEADDCEDCADDDBBEBABECD;AAAEEDECCDDABDEAEACCDBCCDCCBDBEDCDECDDBDBCDBE;BBBBC99999CEDACEDCCDECDCDCEBDBCDCADDCACBECBDAABDBC;BCAABAEAEBEBDDDBBCDDBEBDADBABAADCCBADABDECEDC;Inglês;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;Sem problemas;120;120;120;120;0;480;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Grupo 1 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);4;De R$ 998,01 até R$ 1.497,00;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, quatro ou mais;Não;Sim, um;Sim
190001183041;2019;1721000;Palmas;17;TO;18;Feminino;Solteiro(a);Branca;Brasileiro(a);5002704;Campo Grande;50;MS;Já concluí o Ensino Médio;2018;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;NA;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;1721000;Palmas;17;TO;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Rosa;Rosa;Amarela;669,2;658,0;568,2;744,9;CEDAAEEEEEBDEADCBACEBBCEDDABCBDDCCBCDCDADCCEB;EEBCEDDBADCDCBABEAAECEEACDBEEDCCCECBEECBBAACC;ADBBA99999ABDCBCCAEECEDAEAACCCADDCBDEEACCEECEABECC;BBDECEAADEABAECBCDEDCECEBEDABCBBABEDCEABDCCAA;Inglês;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;Sem problemas;160;200;180;200;200;940;Completou a Faculdade, mas não completou a Pós-graduação;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 6.986,01 até R$ 7.984,00;Não;Sim, três;Sim, três;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, um;Sim;Sim;Sim, três;Sim;Sim, um;Sim
190001215122;2019;1721000;Palmas;17;TO;24;Feminino;Casado(a)/Mora com um(a) companheiro(a);Parda;Brasileiro(a);2108306;Penalva;21;MA;Já concluí o Ensino Médio;2014;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;NA;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;1721000;Palmas;17;TO;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;430,1;431,7;387,8;506,3;BAACCEDBADECECBABCBCEAEAEDBCCAEDDEEBACDAACBBE;DEEBAADECAABCDEDBDCAEDCEAECDABCDEBACDECACDCEA;BDADC99999BECBAAEACBBEEEBBACBBCACCDCEAEDBCECACBABC;AACEBDABADCABCDEAACADAECECDDBDBCABCDEAACAADCE;Inglês;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;Sem problemas;120;120;100;120;0;460;Não completou a 4ª série/5º ano do ensino fundamental;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 1 (Verificar a definição no dicionário de dados);Grupo 1 (Verificar a definição no dicionário de dados);2;Nenhuma renda.;Não;Sim, um;Sim, um;Não;Não;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim
190005554779;2019;1721000;Palmas;17;TO;16;Feminino;Solteiro(a);Branca;Brasileiro(a);1716208;Paranã;17;TO;Estou cursando e concluirei o Ensino Médio em 2019;Não informado;Pública;Ensino Regular;Não;17026164;1721000;Palmas;17;TO;Estadual;Urbana;Em atividade;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;1721000;Palmas;17;TO;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Branca;Branca;Cinza;522,0;556,0;564,0;412,6;EBBBBDCCBCACCEECEBDDCBBBDBAAAEBCDDBCEABEDDCEE;CCDBEECCABCAADAEEABABDABCDCABECBABEECEEDBCABB;ABBAD99999BACCEDEEEBDAADDEEADEEBDDDCBCAABCCECCBECE;DECCBCCDABCBADBCDBAABAEDCBCCADBBDBBACBCCCECDA;Inglês;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;Sem problemas;120;120;120;120;100;580;Não completou a 4ª série/5º ano do ensino fundamental;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);2;De R$ 998,01 até R$ 1.497,00;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Sim;Não;Sim, dois;Não;Sim, um;Sim
190003045514;2019;1721000;Palmas;17;TO;20;Feminino;Solteiro(a);Preta;Brasileiro(a);1709500;Gurupi;17;TO;Já concluí o Ensino Médio;2016;Não respondeu;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;NA;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;1721000;Palmas;17;TO;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Branca;Branca;Amarela;578,6;365,0;543,1;534,3;DCEDEEBAEBDEECDECCCDBCCEBABEDBBBCCDCBCDADACDB;DABCBADEAACDBDEABEECDBCBDABCDBACBDBCDBDEBCEBD;EBBDA99999ADCBCCBCEDAAADCADBBECBDCDEADCACECBCDEEBE;EDBEAEAABDCBCBEABCECBCADBBCACECBCDBCBCCDBEABA;Inglês;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;Sem problemas;120;120;120;120;80;560;Não completou a 4ª série/5º ano do ensino fundamental;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 1 (Verificar a definição no dicionário de dados);2;De R$ 998,01 até R$ 1.497,00;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Sim, um;Sim
